0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
IT160IU,Data Mining,1,4,"ITIT22IU41, ITIT22IU41, ...",0,,,Hai,7,4,A2.301,IT023,'08/07/2024--04/08/2024',
PH013IU,Physics 1,1,2,"PHSE22IU41, PHSE22IU41",0,,,Ba,1,4,A1.208,636,'08/07/2024--11/08/2024',
PE017IU,Scientific socialism,2,2,"PHSE22IU11, PHSE22IU11",0,,,Ba,7,4,A1.401,GE157,'08/07/2024--11/08/2024',
EN008IU,Listening AE1,5,2,"ENEL224WE31, ENEL224WE31",0,,,Tư,1,4,A1.205,EN01,'08/07/2024--11/08/2024',
IT160IU,Data Mining,1,4,"ITIT22IU41, ITIT22IU41, ...",0,,,Tư,7,4,A2.301,IT023,'08/07/2024--04/08/2024',
IT160IU,Data Mining,1,4,"ITIT22IU41, ITIT22IU41, ...",0,,,Sáu,7,4,A2.301,IT023,'08/07/2024--04/08/2024',
IT160IU,Data Mining,1,4,"ITIT22IU41, ITIT22IU41, ...",0,,1.0,Năm,7,4,LA1.302,609,'22/07/2024--18/08/2024',
IT160IU,Data Mining,1,4,"ITIT22IU41, ITIT22IU41, ...",0,,1.0,Bảy,1,4,LA1.302,609,'22/07/2024--18/08/2024',
PH013IU,Physics 1,1,2,"PHSE22IU41, PHSE22IU41",0,,,Ba,1,5,A1.208,636,'12/08/2024--25/08/2024',
PE017IU,Scientific socialism,2,2,"PHSE22IU11, PHSE22IU11",0,,,Ba,7,5,A1.401,GE157,'12/08/2024--25/08/2024',
EN008IU,Listening AE1,5,2,"ENEL224WE31, ENEL224WE31",0,,,Tư,1,5,A1.205,EN01,'12/08/2024--25/08/2024',
