0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
IT142IU,Analytics for Observational Data,1,4,"ITDS22IU41, ITDS22IU41",0,,,Hai,1,3,A2.412,349,'03/02/2025--01/06/2025',
PE014IU,Environmental Science,5,3,CHCE23IU41,0,,,Hai,4,3,A1.402,127,'03/02/2025--01/06/2025',
EN011IU,Writing AE2,23,2,ENEL232WE41,0,,,Tư,7,2,A2.411,EN281,'03/02/2025--01/06/2025',
PH014IU,Physics 2,1,2,PHSE23IU01,0,,,Sáu,3,2,A2.205,636,'03/02/2025--01/06/2025',
PE019IU,Ho Chi Minh's Thoughts,6,2,BABA23IU43,0,,,Sáu,5,2,A1.202,,'03/02/2025--01/06/2025',
IT151IU,Statistical Methods,1,3,ITDS23IU41,0,,,Sáu,7,3,A1.201,MA010,'03/02/2025--01/06/2025',
IT136IU,Regression Analysis,1,4,"ITDS23IU41, ITDS23IU41",0,,,Bảy,1,3,A2.310,62,'03/02/2025--01/06/2025',
IT159IU,Artificial Intelligence,1,4,"ITDS23IU41, ITDS23IU41",0,,,Bảy,4,3,A2.310,724,'03/02/2025--01/06/2025',
IT159IU,Artificial Intelligence,1,4,"ITDS23IU41, ITDS23IU41",0,,1.0,Ba,1,3,LA1.604,609,'03/03/2025--25/05/2025',
IT142IU,Analytics for Observational Data,1,4,"ITDS22IU41, ITDS22IU41",0,,1.0,Tư,1,4,ONLINE8,349,'03/03/2025--11/05/2025',
IT136IU,Regression Analysis,1,4,"ITDS23IU41, ITDS23IU41",0,,1.0,Bảy,7,4,LA1.608,62,'03/03/2025--11/05/2025',
